subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0010299	hypoxanthine guanine phosphoribosyltransferase partial deficiency	skos:exactMatch	DOID:0112127	HRPT-related hyperuricemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hprt deficiency, grade i	LEXMATCH
MONDO:0010299	hypoxanthine guanine phosphoribosyltransferase partial deficiency	skos:exactMatch	DOID:0112127	HRPT-related hyperuricemia	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300323	LEXMATCH
MONDO:0010299	hypoxanthine guanine phosphoribosyltransferase partial deficiency	skos:exactMatch	DOID:0112127	HRPT-related hyperuricemia	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	hypoxanthine guanine phosphoribosyltransferase partial deficiency	LEXMATCH
MONDO:0010299	hypoxanthine guanine phosphoribosyltransferase partial deficiency	skos:exactMatch	DOID:0112127	HRPT-related hyperuricemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	kelley-seegmiller syndrome	LEXMATCH
MONDO:0010299	hypoxanthine guanine phosphoribosyltransferase partial deficiency	skos:exactMatch	DOID:0112127	HRPT-related hyperuricemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hprt partial deficiency	LEXMATCH
MONDO:0010299	hypoxanthine guanine phosphoribosyltransferase partial deficiency	skos:exactMatch	DOID:0112127	HRPT-related hyperuricemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hprt-related gout	LEXMATCH
MONDO:0010299	hypoxanthine guanine phosphoribosyltransferase partial deficiency	skos:exactMatch	DOID:0112127	HRPT-related hyperuricemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hypoxanthine guanine phosphoribosyltransferase deficiency, grade i	LEXMATCH
MONDO:0010299	hypoxanthine guanine phosphoribosyltransferase partial deficiency	skos:exactMatch	DOID:0112127	HRPT-related hyperuricemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hypoxanthine guanine phosphoribosyltransferase 1 partial deficiency	LEXMATCH
MONDO:0010299	hypoxanthine guanine phosphoribosyltransferase partial deficiency	skos:exactMatch	DOID:0112127	HRPT-related hyperuricemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	hprt-related hyperuricemia	LEXMATCH
MONDO:0010300	intellectual disability, X-linked 53	skos:exactMatch	DOID:0112047	non-syndromic X-linked intellectual disability 53	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx53	LEXMATCH
MONDO:0010300	intellectual disability, X-linked 53	skos:exactMatch	DOID:0112047	non-syndromic X-linked intellectual disability 53	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300324	LEXMATCH
MONDO:0010307	intellectual disability, X-linked 73	skos:exactMatch	DOID:0112017	non-syndromic X-linked intellectual disability 73	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300355	LEXMATCH
MONDO:0010307	intellectual disability, X-linked 73	skos:exactMatch	DOID:0112017	non-syndromic X-linked intellectual disability 73	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx73	LEXMATCH
