subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	subject_match_field	object_match_field	match_string	comment
MONDO:0008559	thrombophilia due to thrombin defect	skos:closeMatch	DOID:0111907	thrombophilia due to thrombin defect	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	thrombophilia due to factor 2 defect	LEXMATCH
MONDO:0008559	thrombophilia due to thrombin defect	skos:closeMatch	DOID:0111907	thrombophilia due to thrombin defect	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	prothrombin-related thrombophilia	LEXMATCH
MONDO:0008560	thrombophilia due to activated protein C resistance	skos:closeMatch	DOID:0111902	thrombophilia due to activated protein C resistance	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	proc cofactor deficiency	LEXMATCH
MONDO:0008560	thrombophilia due to activated protein C resistance	skos:closeMatch	DOID:0111902	thrombophilia due to activated protein C resistance	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	activated protein c resistance	LEXMATCH
MONDO:0008560	thrombophilia due to activated protein C resistance	skos:closeMatch	DOID:0111902	thrombophilia due to activated protein C resistance	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	thrombophilia due to deficiency of activated protein c cofactor	LEXMATCH
MONDO:0008560	thrombophilia due to activated protein C resistance	skos:closeMatch	DOID:0111902	thrombophilia due to activated protein C resistance	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	thrombophilia due to activated protein c resistance	LEXMATCH
MONDO:0008560	thrombophilia due to activated protein C resistance	skos:closeMatch	DOID:0111902	thrombophilia due to activated protein C resistance	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	thph2	LEXMATCH
MONDO:0008560	thrombophilia due to activated protein C resistance	skos:closeMatch	DOID:0111902	thrombophilia due to activated protein C resistance	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	apc resistance	LEXMATCH
MONDO:0008560	thrombophilia due to activated protein C resistance	skos:closeMatch	DOID:0111902	thrombophilia due to activated protein C resistance	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	pccf deficiency	LEXMATCH
MONDO:0008654	nystagmus 4, congenital, autosomal dominant	skos:closeMatch	DOID:0111794	congenital nystagmus 4	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	vestibulocerebellar disorder with predominant ocular signs	LEXMATCH
MONDO:0008675	Freeman-Sheldon syndrome	skos:closeMatch	DOID:0111605	distal arthrogryposis type 2A	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	da2a	LEXMATCH
MONDO:0008689	dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema	skos:closeMatch	DOID:0111576	dehydrated hereditary stomatocytosis 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	dehydrated hereditary stomatocytosis 1 with or without pseudohyperkalemia and/or perinatal edema	LEXMATCH
MONDO:0008689	dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema	skos:closeMatch	DOID:0111576	dehydrated hereditary stomatocytosis 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	pseudohyperkalemia edinburgh	LEXMATCH
MONDO:0008799	anophthalmia/microphthalmia-esophageal atresia syndrome	skos:closeMatch	DOID:0111801	syndromic microphthalmia 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	sox2 anophthalmia syndrome	LEXMATCH
MONDO:0008799	anophthalmia/microphthalmia-esophageal atresia syndrome	skos:closeMatch	DOID:0111801	syndromic microphthalmia 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	microphthalmia and esophageal atresia syndrome	LEXMATCH
MONDO:0008799	anophthalmia/microphthalmia-esophageal atresia syndrome	skos:closeMatch	DOID:0111801	syndromic microphthalmia 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	anophthalmia microphthalmia esophageal atresia	LEXMATCH
MONDO:0008799	anophthalmia/microphthalmia-esophageal atresia syndrome	skos:closeMatch	DOID:0111801	syndromic microphthalmia 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	anophthalmia clinical with associated anomalies	LEXMATCH
MONDO:0008799	anophthalmia/microphthalmia-esophageal atresia syndrome	skos:closeMatch	DOID:0111801	syndromic microphthalmia 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	aeg syndrome	LEXMATCH
MONDO:0008799	anophthalmia/microphthalmia-esophageal atresia syndrome	skos:closeMatch	DOID:0111801	syndromic microphthalmia 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	anophthalmia esophageal genital syndrome	LEXMATCH
MONDO:0008856	immunodeficiency 27A	skos:closeMatch	DOID:0111955	immunodeficiency 27A	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	imd27a	LEXMATCH
MONDO:0008952	cerebrofaciothoracic dysplasia	skos:closeMatch	DOID:0081072	craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome	LEXMATCH
MONDO:0008952	cerebrofaciothoracic dysplasia	skos:closeMatch	DOID:0081072	craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	pascual-castroviejo syndrome	LEXMATCH
MONDO:0009049	Cushing syndrome due to macronodular adrenal hyperplasia	skos:closeMatch	DOID:0111622	ACTH-independent macronodular adrenal hyperplasia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	corticotropin-independent macronodular adrenal hyperplasia	LEXMATCH
MONDO:0009049	Cushing syndrome due to macronodular adrenal hyperplasia	skos:closeMatch	DOID:0111622	ACTH-independent macronodular adrenal hyperplasia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	primary macronodular adrenal hyperplasia	LEXMATCH
MONDO:0009049	Cushing syndrome due to macronodular adrenal hyperplasia	skos:closeMatch	DOID:0111622	ACTH-independent macronodular adrenal hyperplasia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	aimah	LEXMATCH
MONDO:0009049	Cushing syndrome due to macronodular adrenal hyperplasia	skos:closeMatch	DOID:0111622	ACTH-independent macronodular adrenal hyperplasia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	mmad	LEXMATCH
MONDO:0009049	Cushing syndrome due to macronodular adrenal hyperplasia	skos:closeMatch	DOID:0111622	ACTH-independent macronodular adrenal hyperplasia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	massive macronodular adrenocortical disease	LEXMATCH
MONDO:0009049	Cushing syndrome due to macronodular adrenal hyperplasia	skos:closeMatch	DOID:0111622	ACTH-independent macronodular adrenal hyperplasia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	adrenocorticotropic hormone-independent macronodular adrenal hyperplasia	LEXMATCH
MONDO:0009049	Cushing syndrome due to macronodular adrenal hyperplasia	skos:closeMatch	DOID:0111622	ACTH-independent macronodular adrenal hyperplasia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	acth-independent macronodular adrenocortical hyperplasia	LEXMATCH
MONDO:0009054	autosomal recessive cutis laxa type 2, classic type	skos:closeMatch	DOID:0070141	autosomal recessive cutis laxa type II classic type	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	autosomal recessive cutis laxa type ii classic type	LEXMATCH
MONDO:0009274	ghosal hematodiaphyseal dysplasia	skos:closeMatch	DOID:0112251	Ghosal hematodiaphyseal syndrome	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	ghosal hematodiaphyseal dysplasia	LEXMATCH
MONDO:0009283	glutaric acidemia type 3	skos:closeMatch	DOID:0112246	glutaric acidemia type 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	glutaric aciduria 3	LEXMATCH
MONDO:0009283	glutaric acidemia type 3	skos:closeMatch	DOID:0112246	glutaric acidemia type 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	glutaryl-coa oxidase deficiency	LEXMATCH
MONDO:0009283	glutaric acidemia type 3	skos:closeMatch	DOID:0112246	glutaric acidemia type 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	ga3	LEXMATCH
MONDO:0009283	glutaric acidemia type 3	skos:closeMatch	DOID:0112246	glutaric acidemia type 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	ga iii	LEXMATCH
MONDO:0009283	glutaric acidemia type 3	skos:closeMatch	DOID:0112246	glutaric acidemia type 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	glutaric aciduria iii	LEXMATCH
MONDO:0009306	combined immunodeficiency with skin granulomas	skos:closeMatch	DOID:0112253	combined cellular and humoral immune defects with granulomas	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	cchidg	LEXMATCH
MONDO:0009306	combined immunodeficiency with skin granulomas	skos:closeMatch	DOID:0112253	combined cellular and humoral immune defects with granulomas	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	combined cellular and humoral immune defects with granulomas	LEXMATCH
MONDO:0009338	hepatic veno-occlusive disease-immunodeficiency syndrome	skos:closeMatch	DOID:0112254	hepatic venoocclusive disease with immunodeficiency	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	hepatic venoocclusive disease with immunodeficiency	LEXMATCH
MONDO:0009338	hepatic veno-occlusive disease-immunodeficiency syndrome	skos:closeMatch	DOID:0112254	hepatic venoocclusive disease with immunodeficiency	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	vodi	LEXMATCH
MONDO:0009354	methylcobalamin deficiency type cblE	skos:closeMatch	DOID:0112255	homocystinuria-megaloblastic anemia cblE type	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	vitamin b12-responsive homocystinuria, cble type	LEXMATCH
MONDO:0009354	methylcobalamin deficiency type cblE	skos:closeMatch	DOID:0112255	homocystinuria-megaloblastic anemia cblE type	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	hmae	LEXMATCH
MONDO:0009354	methylcobalamin deficiency type cblE	skos:closeMatch	DOID:0112255	homocystinuria-megaloblastic anemia cblE type	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	methylcobalamin deficiency, cble type	LEXMATCH
MONDO:0009372	encephalopathy due to hydroxykynureninuria	skos:closeMatch	DOID:0112257	hydroxykynureninuria	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	hydroxykynureninuria	LEXMATCH
MONDO:0009377	hyperammonemia due to N-acetylglutamate synthase deficiency	skos:closeMatch	DOID:0112258	N-acetylglutamate synthase deficiency	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	n-acetyl glutamate synthetase deficiency	LEXMATCH
MONDO:0009377	hyperammonemia due to N-acetylglutamate synthase deficiency	skos:closeMatch	DOID:0112258	N-acetylglutamate synthase deficiency	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	n-acetylglutamate synthetase deficiency	LEXMATCH
MONDO:0009377	hyperammonemia due to N-acetylglutamate synthase deficiency	skos:closeMatch	DOID:0112258	N-acetylglutamate synthase deficiency	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	nag synthetase deficiency	LEXMATCH
MONDO:0009377	hyperammonemia due to N-acetylglutamate synthase deficiency	skos:closeMatch	DOID:0112258	N-acetylglutamate synthase deficiency	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	n-acetylglutamate synthase deficiency	LEXMATCH
MONDO:0009377	hyperammonemia due to N-acetylglutamate synthase deficiency	skos:closeMatch	DOID:0112258	N-acetylglutamate synthase deficiency	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	nags deficiency	LEXMATCH
