mondo_id	subset	omim_id
MONDO:0012183	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609048
MONDO:0012202	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609148
MONDO:0012252	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609322
MONDO:0012292	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609532
MONDO:0012339	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609753
MONDO:0012341	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609755
MONDO:0012419	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610149
MONDO:0012454	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610251
MONDO:0012466	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610297
MONDO:0012482	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610379
MONDO:0012488	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610424
MONDO:0012499	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610446
MONDO:0012503	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610460
MONDO:0012511	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610504
MONDO:0012540	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610698
MONDO:0012584	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610927
MONDO:0012585	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610938
MONDO:0012586	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610947
MONDO:0012595	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610988
MONDO:0012597	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610997
MONDO:0012607	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:611064
MONDO:0012610	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:611081
MONDO:0012627	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:611136
MONDO:0012659	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:611378
MONDO:0012741	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:611868
MONDO:0012758	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:611928
MONDO:0012763	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:611942
MONDO:0012767	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:611953
