subject_id	subject_label	is_mapped	is_excluded	is_deprecated
NCIT:C115062	Stage IVB Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115063	Stage IVC Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115070	Stage I Sinonasal Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115071	Stage II Sinonasal Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115072	Stage III Sinonasal Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115073	Stage IV Sinonasal Squamous Cell Carcinoma AJCC v7	False	False	False
NCIT:C115074	Stage IVA Sinonasal Squamous Cell Carcinoma AJCC v7	False	False	False
NCIT:C115075	Stage IVB Sinonasal Squamous Cell Carcinoma AJCC v7	False	False	False
NCIT:C115076	Stage IVC Sinonasal Squamous Cell Carcinoma AJCC v7	False	False	False
NCIT:C115086	Stage I Oropharyngeal Undifferentiated Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115087	Stage II Oropharyngeal Undifferentiated Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115088	Stage III Oropharyngeal Undifferentiated Carcinoma AJCC v7	False	False	False
NCIT:C115089	Stage IV Oropharyngeal Undifferentiated Carcinoma AJCC v7	False	False	False
NCIT:C115090	Stage IVA Oropharyngeal Undifferentiated Carcinoma AJCC v7	False	False	False
NCIT:C115091	Stage IVB Oropharyngeal Undifferentiated Carcinoma AJCC v7	False	False	False
NCIT:C115092	Stage IVC Oropharyngeal Undifferentiated Carcinoma AJCC v7	False	False	False
NCIT:C115093	Recurrent Oropharyngeal Undifferentiated Carcinoma	False	False	False
NCIT:C115094	Stage III Primary Peritoneal Cancer AJCC v7	False	False	False
NCIT:C115095	Stage IIIA Primary Peritoneal Cancer AJCC v7	False	False	False
NCIT:C115096	Stage IIIB Primary Peritoneal Cancer AJCC v7	False	False	False
NCIT:C115097	Stage IIIC Primary Peritoneal Cancer AJCC v7	False	False	False
NCIT:C115098	Stage IV Primary Peritoneal Cancer AJCC v7	False	False	False
NCIT:C115117	Stage IA Esophageal Cancer AJCC v7	False	False	False
NCIT:C115118	Stage IB Esophageal Cancer AJCC v7	False	False	False
NCIT:C115119	Stage IIIA Esophageal Cancer AJCC v7	False	False	False
NCIT:C115120	Stage IIIB Esophageal Cancer AJCC v7	False	False	False
NCIT:C115121	Stage IIIC Esophageal Cancer AJCC v7	False	False	False
NCIT:C115130	Stage IIA Uterine Sarcoma AJCC v7	False	False	False
NCIT:C115131	Stage IIB Uterine Sarcoma AJCC v7	False	False	False
NCIT:C115132	Hepatocellular Carcinoma by BCLC Stage	False	False	False
NCIT:C115133	BCLC Stage 0 Hepatocellular Carcinoma	False	False	False
NCIT:C115135	BCLC Stage A Hepatocellular Carcinoma	False	False	False
NCIT:C115136	BCLC Stage B Hepatocellular Carcinoma	False	False	False
NCIT:C115137	BCLC Stage C Hepatocellular Carcinoma	False	False	False
NCIT:C115138	BCLC Stage D Hepatocellular Carcinoma	False	False	False
NCIT:C115139	BCLC Stage 0 Adult Hepatocellular Carcinoma	False	False	False
NCIT:C115140	BCLC Stage A Adult Hepatocellular Carcinoma	False	False	False
NCIT:C115141	BCLC Stage B Adult Hepatocellular Carcinoma	False	False	False
NCIT:C115143	BCLC Stage C Adult Hepatocellular Carcinoma	False	False	False
NCIT:C115144	BCLC Stage D Adult Hepatocellular Carcinoma	False	False	False
NCIT:C115150	Adult Grade III Lymphomatoid Granulomatosis	False	False	False
NCIT:C115153	Adult Myelodysplastic Syndrome	False	False	False
