term_id	exclusion_reason
icd11.foundation:1011118719	MONDO:excludeNonDisease
icd11.foundation:1011124161	MONDO:excludeNonDisease
icd11.foundation:1011176659	MONDO:excludeNonDisease
icd11.foundation:1011184963	MONDO:excludeNonDisease
icd11.foundation:1011217372	MONDO:excludeNonDisease
icd11.foundation:101130875	MONDO:excludeNonDisease
icd11.foundation:1011308905	MONDO:excludeNonDisease
icd11.foundation:1011320031	MONDO:excludeNonDisease
icd11.foundation:1011357171	MONDO:excludeNonDisease
icd11.foundation:1011656019	MONDO:excludeNonDisease
icd11.foundation:1011692914	MONDO:excludeNonDisease
icd11.foundation:1011736745	MONDO:excludeNonDisease
icd11.foundation:1011814229	MONDO:excludeNonDisease
icd11.foundation:1011844675	MONDO:excludeNonDisease
icd11.foundation:1011861120	MONDO:excludeNonDisease
icd11.foundation:1011867415	MONDO:excludeNonDisease
icd11.foundation:1011969484	MONDO:excludeNonDisease
icd11.foundation:1011986175	MONDO:excludeNonDisease
icd11.foundation:1012056015	MONDO:excludeNonDisease
icd11.foundation:1012068483	MONDO:excludeNonDisease
icd11.foundation:1012095771	MONDO:excludeNonDisease
icd11.foundation:101210256	MONDO:excludeNonDisease
icd11.foundation:1012138993	MONDO:excludeNonDisease
icd11.foundation:1012172182	MONDO:excludeNonDisease
icd11.foundation:1012200267	MONDO:excludeNonDisease
icd11.foundation:1012245900	MONDO:excludeNonDisease
icd11.foundation:1012292065	MONDO:excludeNonDisease
icd11.foundation:1012310409	MONDO:excludeNonDisease
icd11.foundation:1012411253	MONDO:excludeNonDisease
icd11.foundation:1012413139	MONDO:excludeNonDisease
icd11.foundation:1012455631	MONDO:excludeNonDisease
icd11.foundation:1012496108	MONDO:excludeNonDisease
icd11.foundation:1012539610	MONDO:excludeNonDisease
icd11.foundation:1012587212	MONDO:excludeNonDisease
icd11.foundation:101271142	MONDO:excludeNonDisease
icd11.foundation:1012721269	MONDO:excludeNonDisease
icd11.foundation:1012734657	MONDO:excludeNonDisease
icd11.foundation:1012907291	MONDO:excludeNonDisease
icd11.foundation:1013004323	MONDO:excludeNonDisease
icd11.foundation:1013009136	MONDO:excludeNonDisease
icd11.foundation:1013271085	MONDO:excludeNonDisease
icd11.foundation:101330785	MONDO:excludeNonDisease
icd11.foundation:101333341	MONDO:excludeNonDisease
icd11.foundation:1013346891	MONDO:excludeNonDisease
icd11.foundation:1013382853	MONDO:excludeNonDisease
icd11.foundation:1013404903	MONDO:excludeNonDisease
icd11.foundation:101360623	MONDO:excludeNonDisease
icd11.foundation:1013634419	MONDO:excludeNonDisease
icd11.foundation:1013723759	MONDO:excludeNonDisease
icd11.foundation:1013784154	MONDO:excludeNonDisease
icd11.foundation:1013848967	MONDO:excludeNonDisease
icd11.foundation:1013883441	MONDO:excludeNonDisease
icd11.foundation:1013996287	MONDO:excludeNonDisease
icd11.foundation:1014019045	MONDO:excludeNonDisease
icd11.foundation:1014128873	MONDO:excludeNonDisease
icd11.foundation:1014173101	MONDO:excludeNonDisease
icd11.foundation:1014201514	MONDO:excludeNonDisease
icd11.foundation:1014239569	MONDO:excludeNonDisease
icd11.foundation:1014295454	MONDO:excludeNonDisease
icd11.foundation:1014356255	MONDO:excludeNonDisease
icd11.foundation:1014360059	MONDO:excludeNonDisease
icd11.foundation:1014415223	MONDO:excludeNonDisease
icd11.foundation:1014451537	MONDO:excludeNonDisease
icd11.foundation:1014498469	MONDO:excludeNonDisease
icd11.foundation:1014624341	MONDO:excludeNonDisease
icd11.foundation:1014703044	MONDO:excludeNonDisease
icd11.foundation:1014868755	MONDO:excludeNonDisease
icd11.foundation:1015131848	MONDO:excludeNonDisease
icd11.foundation:1015158772	MONDO:excludeNonDisease
icd11.foundation:1015191202	MONDO:excludeNonDisease
icd11.foundation:1015214666	MONDO:excludeNonDisease
icd11.foundation:1015233597	MONDO:excludeNonDisease
icd11.foundation:1015323108	MONDO:excludeNonDisease
icd11.foundation:1015438274	MONDO:excludeNonDisease
icd11.foundation:101551170	MONDO:excludeNonDisease
icd11.foundation:1015541214	MONDO:excludeNonDisease
icd11.foundation:1015649530	MONDO:excludeNonDisease
icd11.foundation:1015672493	MONDO:excludeNonDisease
icd11.foundation:1015681683	MONDO:excludeNonDisease
icd11.foundation:1015811288	MONDO:excludeNonDisease
icd11.foundation:1015869488	MONDO:excludeNonDisease
icd11.foundation:1016131226	MONDO:excludeNonDisease
icd11.foundation:1016235770	MONDO:excludeNonDisease
icd11.foundation:1016280331	MONDO:excludeNonDisease
icd11.foundation:1016305819	MONDO:excludeNonDisease
icd11.foundation:1016410866	MONDO:excludeNonDisease
icd11.foundation:1016440900	MONDO:excludeNonDisease
icd11.foundation:1016515439	MONDO:excludeNonDisease
icd11.foundation:1016539512	MONDO:excludeNonDisease
icd11.foundation:1016792974	MONDO:excludeNonDisease
icd11.foundation:1016813295	MONDO:excludeNonDisease
icd11.foundation:1016863876	MONDO:excludeNonDisease
icd11.foundation:1016989105	MONDO:excludeNonDisease
icd11.foundation:1016992635	MONDO:excludeNonDisease
icd11.foundation:1017012602	MONDO:excludeNonDisease
icd11.foundation:101702253	MONDO:excludeNonDisease
icd11.foundation:1017043796	MONDO:excludeNonDisease
icd11.foundation:1017064659	MONDO:excludeNonDisease
icd11.foundation:101706942	MONDO:excludeNonDisease
icd11.foundation:1017156365	MONDO:excludeNonDisease
icd11.foundation:1017166463	MONDO:excludeNonDisease
icd11.foundation:1017167914	MONDO:excludeNonDisease
icd11.foundation:1017264551	MONDO:excludeNonDisease
icd11.foundation:101728952	MONDO:excludeNonDisease
icd11.foundation:1017294360	MONDO:excludeNonDisease
icd11.foundation:1017306028	MONDO:excludeNonDisease
icd11.foundation:1017306353	MONDO:excludeNonDisease
icd11.foundation:1017466422	MONDO:excludeNonDisease
icd11.foundation:1017521974	MONDO:excludeNonDisease
icd11.foundation:1017592669	MONDO:excludeNonDisease
icd11.foundation:101760254	MONDO:excludeNonDisease
icd11.foundation:1017667389	MONDO:excludeNonDisease
icd11.foundation:1017669139	MONDO:excludeNonDisease
icd11.foundation:1017770067	MONDO:excludeNonDisease
icd11.foundation:1017879331	MONDO:excludeNonDisease
icd11.foundation:1017912001	MONDO:excludeNonDisease
icd11.foundation:1017953135	MONDO:excludeNonDisease
icd11.foundation:1017998545	MONDO:excludeNonDisease
icd11.foundation:1018149599	MONDO:excludeNonDisease
icd11.foundation:1018167471	MONDO:excludeNonDisease
icd11.foundation:1018288653	MONDO:excludeNonDisease
icd11.foundation:1018339529	MONDO:excludeNonDisease
icd11.foundation:1018363638	MONDO:excludeNonDisease
icd11.foundation:1018375082	MONDO:excludeNonDisease
icd11.foundation:1018495573	MONDO:excludeNonDisease
icd11.foundation:1018588733	MONDO:excludeNonDisease
icd11.foundation:1018853349	MONDO:excludeNonDisease
icd11.foundation:1019013806	MONDO:excludeNonDisease
icd11.foundation:1019035543	MONDO:excludeNonDisease
icd11.foundation:1019056647	MONDO:excludeNonDisease
icd11.foundation:1019140759	MONDO:excludeNonDisease
icd11.foundation:1019158877	MONDO:excludeNonDisease
icd11.foundation:1019331131	MONDO:excludeNonDisease
icd11.foundation:1019362821	MONDO:excludeNonDisease
icd11.foundation:1019362950	MONDO:excludeNonDisease
icd11.foundation:1019379329	MONDO:excludeNonDisease
icd11.foundation:1019440157	MONDO:excludeNonDisease
icd11.foundation:1019469191	MONDO:excludeNonDisease
