subject_id	subject_label
ICD10CM:O28	Abnormal findings on antenatal screening of mother
ICD10CM:O99.814	Abnormal glucose complicating childbirth
ICD10CM:O99.810	Abnormal glucose complicating pregnancy
ICD10CM:O99.81	Abnormal glucose complicating pregnancy, childbirth and the puerperium
ICD10CM:O99.815	Abnormal glucose complicating the puerperium
ICD10CM:K04.3	Abnormal hard tissue formation in pulp
ICD10CM:O28.0	Abnormal hematological finding on antenatal screening of mother
ICD10CM:H02.51	Abnormal innervation syndrome
ICD10CM:H02.516	Abnormal innervation syndrome left eye, unspecified eyelid
ICD10CM:H02.515	Abnormal innervation syndrome left lower eyelid
ICD10CM:H02.514	Abnormal innervation syndrome left upper eyelid
ICD10CM:H02.513	Abnormal innervation syndrome right eye, unspecified eyelid
ICD10CM:H02.512	Abnormal innervation syndrome right lower eyelid
ICD10CM:H02.511	Abnormal innervation syndrome right upper eyelid
ICD10CM:H02.519	Abnormal innervation syndrome unspecified eye, unspecified eyelid
ICD10CM:O28.4	Abnormal radiological finding on antenatal screening of mother
ICD10CM:O28.3	Abnormal ultrasonic finding on antenatal screening of mother
ICD10CM:N93.9	Abnormal uterine and vaginal bleeding, unspecified
ICD10CM:K00.2	Abnormalities of size and form of teeth
ICD10CM:S30.81	Abrasion of abdomen, lower back, pelvis and external genitals
ICD10CM:S30.811	Abrasion of abdominal wall
ICD10CM:S30.811A	Abrasion of abdominal wall, initial encounter
ICD10CM:S30.811S	Abrasion of abdominal wall, sequela
ICD10CM:S30.811D	Abrasion of abdominal wall, subsequent encounter
ICD10CM:S90.51	Abrasion of ankle
ICD10CM:S30.817	Abrasion of anus
ICD10CM:S30.817A	Abrasion of anus, initial encounter
ICD10CM:S30.817S	Abrasion of anus, sequela
ICD10CM:S30.817D	Abrasion of anus, subsequent encounter
ICD10CM:S20.41	Abrasion of back wall of thorax
ICD10CM:S20.313	Abrasion of bilateral front wall of thorax
ICD10CM:S20.313A	Abrasion of bilateral front wall of thorax, initial encounter
ICD10CM:S20.313S	Abrasion of bilateral front wall of thorax, sequela
ICD10CM:S20.313D	Abrasion of bilateral front wall of thorax, subsequent encounter
ICD10CM:S20.11	Abrasion of breast
ICD10CM:S20.112	Abrasion of breast, left breast
ICD10CM:S20.112A	Abrasion of breast, left breast, initial encounter
ICD10CM:S20.112S	Abrasion of breast, left breast, sequela
ICD10CM:S20.112D	Abrasion of breast, left breast, subsequent encounter
ICD10CM:S20.111	Abrasion of breast, right breast
ICD10CM:S20.111A	Abrasion of breast, right breast, initial encounter
ICD10CM:S20.111S	Abrasion of breast, right breast, sequela
ICD10CM:S20.111D	Abrasion of breast, right breast, subsequent encounter
ICD10CM:S20.119	Abrasion of breast, unspecified breast
ICD10CM:S20.119A	Abrasion of breast, unspecified breast, initial encounter
ICD10CM:S20.119S	Abrasion of breast, unspecified breast, sequela
ICD10CM:S20.119D	Abrasion of breast, unspecified breast, subsequent encounter
ICD10CM:S00.41	Abrasion of ear
ICD10CM:S50.31	Abrasion of elbow
ICD10CM:S00.21	Abrasion of eyelid and periocular area
ICD10CM:S60.41	Abrasion of fingers
ICD10CM:S90.81	Abrasion of foot
ICD10CM:S50.81	Abrasion of forearm
ICD10CM:S20.31	Abrasion of front wall of thorax
ICD10CM:S60.51	Abrasion of hand
ICD10CM:S70.21	Abrasion of hip
ICD10CM:S80.21	Abrasion of knee
ICD10CM:S20.412	Abrasion of left back wall of thorax
ICD10CM:S20.412A	Abrasion of left back wall of thorax, initial encounter
